"X","Y","Z","ReturnNumber","NumberOfReturns","Classification"
277999.970,6122342.200,64.350,1.000,2.000,5.000
277999.970,6122342.530,64.300,1.000,1.000,5.000
277999.520,6122339.740,63.090,1.000,2.000,1.000
277999.550,6122340.050,62.880,1.000,2.000,1.000
277999.530,6122340.410,63.000,1.000,1.000,1.000
277999.530,6122340.750,63.040,1.000,1.000,5.000
277999.550,6122341.070,62.860,1.000,2.000,5.000
277999.480,6122341.810,63.460,1.000,2.000,5.000
277999.850,6122342.390,60.070,1.000,2.000,5.000
277999.640,6122343.300,61.930,1.000,1.000,5.000
277999.610,6122343.680,62.220,1.000,1.000,5.000
277999.570,6122344.070,62.590,1.000,1.000,5.000
277999.500,6122344.480,63.240,1.000,1.000,5.000
277999.500,6122344.820,63.220,1.000,1.000,5.000
277999.520,6122345.120,63.010,1.000,1.000,5.000
277999.520,6122345.460,63.070,1.000,1.000,5.000
277999.530,6122345.790,62.930,1.000,1.000,5.000
277999.520,6122346.150,63.070,1.000,1.000,5.000
277999.540,6122346.780,62.830,1.000,1.000,5.000
277999.610,6122347.040,62.230,1.000,1.000,5.000
